-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        74.68%        2.299s        74.68%        2.299s      19.002ms       1.590ms         0.06%       1.590ms      13.143us           0 B           0 B           0 B           0 B           121  
                                            aten::index         7.04%     216.739ms         7.04%     216.762ms      21.676ms       0.000us         0.00%       0.000us       0.000us      10.02 MB      10.02 MB           0 B           0 B            10  
                                           aten::matmul         1.80%      55.567ms         3.35%     103.156ms     322.363us       0.000us         0.00%     139.020ms     434.439us           0 B           0 B     240.00 GB           0 B           320  
                                       cuLaunchKernelEx         1.47%      45.128ms         1.47%      45.128ms      47.009us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           960  
                                          aten::sigmoid         1.26%      38.707ms         1.27%      39.135ms     326.126us      14.320ms         0.58%      14.320ms     119.332us           0 B           0 B      20.00 GB      20.00 GB           120  
                                              aten::add         1.19%      36.747ms         1.23%      37.723ms     188.613us      34.359ms         1.39%      34.359ms     171.795us      40.16 MB      40.16 MB      32.50 GB      32.50 GB           200  
                         chaoscontrol_ssm_scan::forward         1.10%      33.792ms         1.11%      34.268ms     856.708us      26.009ms         1.05%      26.009ms     650.230us           0 B           0 B      30.00 GB           0 B            40  
                    Optimizer.zero_grad#AdamW.zero_grad         1.08%      33.323ms         1.08%      33.323ms       3.332ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B    -205.06 MB    -205.06 MB            10  
                                             aten::tanh         1.05%      32.172ms         1.05%      32.331ms     808.276us       7.156ms         0.29%       7.156ms     178.904us           0 B           0 B      10.00 GB      10.00 GB            40  
                                       cudaLaunchKernel         0.67%      20.478ms         0.67%      20.478ms       4.320us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4740  
