-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.16%       5.060ms         0.46%      14.267ms      10.414us     587.685ms        23.81%     587.999ms     429.196us           0 B           0 B           0 B     -20.00 MB          1370  
                                               aten::to         0.03%     843.090us         0.47%      14.394ms      14.688us       0.000us         0.00%     583.314ms     595.219us          40 B           0 B     645.04 GB           0 B           980  
                                         aten::_to_copy         0.07%       2.110ms         0.44%      13.551ms      16.526us       0.000us         0.00%     583.314ms     711.359us          40 B           0 B     645.04 GB           0 B           820  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.01%     180.274us         0.03%     834.212us      20.855us       0.000us         0.00%     396.410ms       9.910ms           0 B           0 B    -320.00 GB    -640.00 GB            40  
                                    LogSoftmaxBackward0         0.00%     150.256us         0.02%     653.938us      16.348us       0.000us         0.00%     396.410ms       9.910ms           0 B           0 B     320.00 GB           0 B            40  
                       aten::_log_softmax_backward_data         0.01%     322.730us         0.02%     503.682us      12.592us     396.410ms        16.06%     396.410ms       9.910ms           0 B           0 B     320.00 GB     320.00 GB            40  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     396.410ms        16.06%     396.410ms       9.910ms           0 B           0 B           0 B           0 B            40  
                                               aten::mm         0.56%      17.219ms         2.13%      65.649ms      68.384us     392.155ms        15.88%     392.155ms     408.495us           0 B           0 B     322.86 GB     322.86 GB           960  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     352.551ms        14.28%     352.551ms     881.377us           0 B           0 B           0 B           0 B           400  
                                           train_iter_4         0.00%       0.000us         0.00%       0.000us       0.000us     305.313ms        12.37%     305.313ms     305.313ms           0 B           0 B           0 B           0 B             1  
