-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        52.83%        3.726s        52.83%        3.726s     434.767us        8.655s       177.40%        8.655s       1.010ms           0 B           0 B       5.50 GB       5.50 GB          8570  
                                       cudaLaunchKernel        12.36%     871.650ms        33.52%        2.365s     160.711us       1.877ms         0.04%        8.301s     564.189us           0 B           0 B       6.50 GB       2.75 GB         14713  
                                       cuLaunchKernelEx         8.87%     625.519ms        15.41%        1.087s     211.013us       0.000us         0.00%     272.863ms      52.962us           0 B           0 B           0 B           0 B          5152  
                                        cudaMemcpyAsync         7.57%     533.593ms         9.11%     642.344ms     234.176us       1.241ms         0.03%       4.471ms       1.630us           0 B           0 B       8.50 GB       7.75 GB          2743  
                       Runtime Triggered Module Loading         4.97%     350.638ms         4.97%     350.638ms       4.870ms      65.872ms         1.35%      65.872ms     914.891us           0 B           0 B           0 B           0 B            72  
                                               aten::mm         3.23%     227.626ms        28.31%        1.997s     529.308us        1.336s        27.39%        1.819s     482.221us           0 B           0 B    1564.34 GB    1564.34 GB          3772  
                                        cudaMemsetAsync         3.19%     224.904ms         8.22%     579.889ms     176.312us       0.000us         0.00%     209.071ms      63.567us           0 B           0 B           0 B           0 B          3289  
                                              aten::bmm         0.56%      39.638ms         0.65%      45.994ms      33.329us       8.397ms         0.17%       8.451ms       6.124us           0 B           0 B       3.15 GB       3.15 GB          1380  
                               Optimizer.step#Muon.step         0.56%      39.219ms         7.15%     504.223ms      21.923ms       0.000us         0.00%      30.411ms       1.322ms           0 B          -8 B      20.51 MB     -10.89 GB            23  
                                         aten::uniform_         0.48%      33.976ms         0.48%      33.976ms       1.172ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            29  
