-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             _FusedLinearCrossEntropyFn         0.07%       4.637ms        11.42%     805.612ms      35.027ms     646.278ms        13.25%        9.218s     400.770ms           0 B           0 B      46.01 MB    -736.22 GB            23  
                                    Command Buffer Full        52.83%        3.726s        52.83%        3.726s     434.767us        8.655s       177.40%        8.655s       1.010ms           0 B           0 B       5.50 GB       5.50 GB          8570  
                                       cudaLaunchKernel        12.36%     871.650ms        33.52%        2.365s     160.711us       1.877ms         0.04%        8.301s     564.189us           0 B           0 B       6.50 GB       2.75 GB         14713  
                                               aten::mm         3.23%     227.626ms        28.31%        1.997s     529.308us        1.336s        27.39%        1.819s     482.221us           0 B           0 B    1564.34 GB    1564.34 GB          3772  
                                           aten::matmul         0.25%      17.951ms        23.16%        1.634s     422.775us       0.000us         0.00%        1.525s     394.734us           0 B           0 B    1383.39 GB    -256.00 MB          3864  
autograd::engine::evaluate_function: _FusedLinearCro...         0.01%     710.171us        12.80%     902.650ms      39.246ms       0.000us         0.00%        1.382s      60.089ms           0 B           0 B       5.92 GB     -46.00 MB            23  
                     _FusedLinearCrossEntropyFnBackward         0.10%       6.925ms        12.79%     901.940ms      39.215ms     748.577ms        15.34%        1.382s      60.089ms           0 B           0 B       5.96 GB    -828.18 GB            23  
void cc_lm_head_loss::(anonymous namespace)::linear_...         0.00%       0.000us         0.00%       0.000us       0.000us     748.577ms        15.34%     748.577ms       2.034ms           0 B           0 B           0 B           0 B           368  
                                              aten::mul         0.28%      19.814ms         5.02%     353.838ms     123.074us     521.112ms        10.68%     623.601ms     216.905us           0 B           0 B     463.15 GB     463.15 GB          2875  
