-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        47.90%        3.428s        47.90%        3.428s     432.860us        2.658s        58.72%        2.658s     335.623us           0 B           0 B       3.00 GB       3.00 GB          7919  
                                       cudaLaunchKernel        17.65%        1.263s        30.61%        2.190s     156.529us     353.951us         0.01%        2.381s     170.143us           0 B           0 B       7.00 GB       3.75 GB         13994  
                                        cudaMemsetAsync        11.48%     821.294ms        14.29%        1.023s     350.154us       0.000us         0.00%     176.112ms      60.292us           0 B           0 B           0 B           0 B          2921  
                                        cudaMemcpyAsync         5.98%     428.141ms         6.12%     438.204ms     184.507us       1.708ms         0.04%      16.550ms       6.968us           0 B           0 B      15.01 GB       6.51 GB          2375  
                       Runtime Triggered Module Loading         4.83%     345.412ms         4.83%     345.412ms       4.934ms      59.293ms         1.31%      59.293ms     847.037us           0 B           0 B           0 B           0 B            70  
                                       cuLaunchKernelEx         3.75%     268.204ms         9.96%     712.870ms     149.011us       0.000us         0.00%     194.082ms      40.569us           0 B           0 B           0 B           0 B          4784  
                                               aten::mm         2.78%     199.158ms        28.81%        2.062s     679.115us     962.488ms        21.27%        1.332s     438.721us           0 B           0 B     368.16 GB     367.66 GB          3036  
                                              aten::bmm         0.46%      32.773ms         0.54%      38.941ms      28.218us       8.450ms         0.19%       8.508ms       6.165us           0 B           0 B       3.15 GB       3.15 GB          1380  
                               Optimizer.step#Muon.step         0.44%      31.356ms         2.40%     172.081ms       7.482ms       0.000us         0.00%      29.215ms       1.270ms           0 B           0 B      20.51 MB     -10.91 GB            23  
                                         aten::uniform_         0.38%      27.292ms         0.38%      27.292ms     941.119us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            29  
