-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        47.90%        3.428s        47.90%        3.428s     432.860us        2.658s        58.72%        2.658s     335.623us           0 B           0 B       3.00 GB       3.00 GB          7919  
                                               aten::mm         2.78%     199.158ms        28.81%        2.062s     679.115us     962.488ms        21.27%        1.332s     438.721us           0 B           0 B     368.16 GB     367.66 GB          3036  
               _StreamingV2LinearCrossEntropyFnBackward         0.07%       4.836ms        15.36%        1.099s      47.777ms     750.020ms        16.57%        1.301s      56.569ms           0 B           0 B       5.96 GB     -46.00 GB            23  
void cc_lm_head_loss::(anonymous namespace)::linear_...         0.00%       0.000us         0.00%       0.000us       0.000us     750.020ms        16.57%     750.020ms       2.038ms           0 B           0 B           0 B           0 B           368  
                       _StreamingV2LinearCrossEntropyFn         0.04%       3.042ms         9.12%     652.611ms      28.374ms     578.332ms        12.78%        2.966s     128.958ms           0 B           0 B      46.01 MB     -23.22 GB            23  
void cc_lm_head_loss::(anonymous namespace)::linear_...         0.00%       0.000us         0.00%       0.000us       0.000us     578.332ms        12.78%     578.332ms       1.572ms           0 B           0 B           0 B           0 B           368  
                                              aten::mul         0.25%      17.857ms         4.02%     287.667ms     100.058us     517.465ms        11.43%     606.025ms     210.791us           0 B           0 B     463.16 GB     462.91 GB          2875  
              nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     384.394ms         8.49%     384.394ms     407.629us           0 B           0 B           0 B           0 B           943  
                                            aten::copy_         0.16%      11.133ms        10.17%     727.957ms     202.943us     316.800ms         7.00%     401.062ms     111.810us           0 B           0 B           0 B           0 B          3587  
                                            aten::addmm         0.09%       6.413ms         2.10%     149.967ms     407.519us     198.192ms         4.38%     198.192ms     538.566us           0 B           0 B           0 B           0 B           368  
